canonical_handle,canonical_handle_source,liquipedia_page_title,liquipedia_url,resolution_status,resolution_confidence,account_ids,steam_ids,observed_names,liquipedia_handles,legal_names,romanized_names,tournament_count,tournaments,resolution_evidence,scope_role,primary_tournaments,supplemental_tournaments
ChuaN,liquipedia_player_infobox.id,ChuaN,https://liquipedia.net/dota2/ChuaN,resolved_with_player_page_and_ids,high,88553213,76561198048818941 (derived),ChuaN,ChuaN,黄福全,Wong Hock Chuan,1,joinDOTA Masters IV,player_page_infobox | player_page_account_id,primary_only,joinDOTA Masters IV,
CJ7,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,CJ7,,,,1,WCG Asian Championship 2011,observed_name_only,primary_only,WCG Asian Championship 2011,
CK~,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,CK~,,,,1,WCG Asian Championship 2011,observed_name_only,primary_only,WCG Asian Championship 2011,
Coco,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,Coco,,,,2,The Premier League Season 1 | joinDOTA Masters I,observed_name_only,primary_only,The Premier League Season 1 | joinDOTA Masters I,
ComeWithMe,liquipedia_player_infobox.id,ComeWithMe,https://liquipedia.net/dota2/ComeWithMe,resolved_with_player_page_and_ids,high,85375207,76561198045640935 (derived),ComeWithMe,ComeWithMe | CWM,Alexandru Craciunescu,,5,The International 2011 | The Defense Season 1 | The Premier League Season 1 | Infused Cup | joinDOTA Masters I,player_page_infobox | player_page_account_id,primary_with_supplemental,The Defense Season 1 | The Premier League Season 1 | Infused Cup | joinDOTA Masters I,The International 2011
craNich,liquipedia_player_infobox.id,CraNich,https://liquipedia.net/dota2/CraNich,resolved_with_player_page_and_ids,high,7932121,76561197968197849 (derived),CraNich | craNich,craNich | CraNich,Petr Meluzin,,3,The International 2011 | Electronic Sports World Cup 2011 | The Defense Season 1,player_page_infobox | player_page_account_id,primary_with_supplemental,Electronic Sports World Cup 2011 | The Defense Season 1,The International 2011
Crydasia,liquipedia_player_infobox.id,Crydasia,https://liquipedia.net/dota2/Crydasia,resolved_with_player_page_and_ids,high,19811260,76561197980076988 (derived),Crydasia,Crydasia | Cry))asia,David Landmesser,,1,joinDOTA Masters I,player_page_infobox | player_page_account_id,primary_only,joinDOTA Masters I,
Cycnical,manual_override,,,resolved_with_teamcard_account_id_only,medium,86767849,76561198047033577 (derived),Cycnical,,,,1,The Defense Season 1,manual_override_account_id | manual_scope_injection,primary_only,The Defense Season 1,
cYso,liquipedia_player_infobox.id,CYso,https://liquipedia.net/dota2/CYso,resolved_with_player_page_and_ids,high,5246156,76561197965511884 (derived),cYso,cYso | CYso,Julius Åberg,,1,JeeDota2 Championship #1,player_page_infobox | teamcard_account_id | player_page_account_id,primary_only,JeeDota2 Championship #1,
d4rkw1sH,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,d4rkw1sH,,,,2,WCG Asian Championship 2011 | Malaysia Invitational,observed_name_only,primary_only,WCG Asian Championship 2011 | Malaysia Invitational,
DaGiraft,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,DaGiraft,,,,1,DreamHack Winter 2011,observed_name_only,primary_only,DreamHack Winter 2011,
Deadmage,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,Deadmage,,,,1,The Defense Season 1,observed_name_only,primary_only,The Defense Season 1,
DeMenT,tournament_teamcard.observed_name,,,resolved_with_teamcard_account_id_only,medium,86561084,76561198046826812 (derived),DeMenT | DeMeNt,,,,3,The Defense Season 1 | Dota2Replays Brawl | joinDOTA Masters I,observed_name_only | manual_override_account_id,primary_only,The Defense Season 1 | Dota2Replays Brawl | joinDOTA Masters I,
DeMoN,liquipedia_player_infobox.id,DeMoN,https://liquipedia.net/dota2/DeMoN,resolved_with_player_page_and_ids,high,85805514,76561198046071242 (derived),DeMoN | Demon,DeMoN | Pegasus,Jimmy Ho,,3,The International 2011 | The Defense Season 1 | joinDOTA Masters I,player_page_infobox | player_page_account_id,primary_with_supplemental,The Defense Season 1 | joinDOTA Masters I,The International 2011
Dendi,liquipedia_player_infobox.id,Dendi,https://liquipedia.net/dota2/Dendi,resolved_with_player_page_and_ids,high,70388657,76561198030654385 (derived),Dendi,Dendi,Данило Ішутін,Danil Ishutin,6,The International 2011 | Electronic Sports World Cup 2011 | The Defense Season 1 | Dota2 Star Championship | The Premier League Season 1 | StarLadder StarSeries Season 1,player_page_infobox | player_page_account_id,primary_with_supplemental,Electronic Sports World Cup 2011 | The Defense Season 1 | The Premier League Season 1 | StarLadder StarSeries Season 1,The International 2011 | Dota2 Star Championship
Dhany,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,Dhany,,,,3,The Defense Season 1 | DreamHack Winter 2011 | Dota2 Star Championship,observed_name_only,primary_with_supplemental,The Defense Season 1 | DreamHack Winter 2011,Dota2 Star Championship
Digestivee,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,Digestivee,,,,1,DreamHack Winter 2011,observed_name_only,primary_only,DreamHack Winter 2011,
